,actor_id,label,predicted_label_BotHawk,predicted_label_BoDeGha,predicted_label_bothunter
338,47351025,Human,0,0,0
339,14373068,Human,0,0,0
340,19616653,Human,0,0,0
341,313494,Human,1,0,0
342,7554352,Human,1,0,0
343,9762652,Human,0,0,0
344,926513,Human,0,0,0
345,973860,Human,1,0,0
346,3379460,Human,1,0,0
347,76908410,Bot,0,0,0
348,6157049,Human,0,0,0
349,1507158,Human,0,0,0
350,7828365,Human,0,0,0
351,82778544,Human,1,1,0
352,41213312,Bot,1,0,0
353,50640090,Human,1,0,0
354,25160789,Human,0,0,0
355,65137116,Human,1,0,0
356,57198942,Human,1,0,0
357,9742568,Bot,0,1,0
358,13864484,Human,1,0,0
359,21592,Human,0,0,0
360,60106112,Human,0,0,0
361,69431456,Human,0,0,0
362,10195800,Human,0,0,0
363,113001,Human,0,1,1
364,29708070,Human,0,0,0
365,12242590,Human,0,0,0
366,14380972,Human,0,0,0
367,57292142,Human,0,0,0
368,53356347,Bot,1,0,0
369,63485082,Human,0,0,0
370,12479470,Human,0,0,0
371,476013,Human,0,0,0
372,4595135,Human,1,0,0
373,78982,Human,0,0,0
374,54246291,Human,0,0,0
375,193136,Human,0,0,0
376,209374,Human,0,0,0
377,16981248,Human,0,1,0
378,4971414,Human,0,0,0
379,39223861,Human,1,0,0
380,37431235,Human,0,1,0
381,58761920,Human,0,0,0
382,6102858,Bot,1,0,0
383,16837285,Bot,1,0,0
384,52951923,Bot,1,0,0
385,40620903,Human,0,0,0
386,34882892,Bot,1,0,0
387,1634252,Human,1,0,0
388,58698531,Human,1,0,0
389,7042,Human,0,0,0
390,58045821,Human,0,0,0
391,74306126,Human,0,0,1
392,19201447,Human,0,0,0
393,63355234,Bot,1,0,0
394,46893889,Human,1,0,0
395,6508,Human,0,0,0
396,346907,Human,0,0,0
397,20123683,Human,0,0,0
398,4933,Human,0,1,0
399,5984479,Human,0,0,0
400,6422482,Bot,1,0,0
401,5781547,Human,0,1,1
402,25986782,Human,0,0,0
403,86326137,Bot,1,0,0
404,54780737,Human,0,0,0
405,82717856,Human,0,0,0
406,64984008,Human,0,0,0
407,25397800,Human,0,0,0
408,280212,Human,0,0,0
409,48457681,Human,1,0,0
410,5726,Human,1,0,0
411,50523262,Human,1,0,0
412,69833949,Bot,1,1,0
413,17919858,Human,0,0,0
414,60985269,Human,1,0,0
415,49032,Human,0,0,1
416,56113566,Human,0,1,0
417,35927536,Human,0,0,0
418,45554944,Human,0,0,0
419,17703670,Human,0,0,0
420,1121362,Human,0,1,0
421,15202793,Human,1,0,1
422,814471,Human,1,0,0
423,82715592,Human,1,0,0
424,46904574,Bot,1,0,0
425,6010774,Human,0,0,0
426,48118242,Human,0,0,0
427,9733856,Human,0,0,0
428,2390260,Human,1,0,0
429,20707603,Human,0,0,0
430,227261,Human,1,0,0
431,36231209,Bot,1,0,0
432,70956405,Human,1,0,0
433,1036561,Human,0,0,0
434,18567580,Bot,1,0,0
435,68580920,Human,0,0,0
436,7548378,Human,0,0,0
437,68820538,Human,0,0,0
438,64878874,Human,0,1,1
